query,title,year,venue,authors,doi,url,type,source,score,tags
robotic hand slip estimation tactile,Development of Anthropomorphic Robot Hand with Tactile Sensor:SKKU Hand II,2008,Sensors: Focus on Tactile Force and Stress Sensors,Byung June; Jooyoung Chun; Hyouk Ryeol,10.5772/6625,https://doi.org/10.5772/6625,book-chapter,Crossref,3,tactile;contact;manipulation
robot grasp tactile sensing,Tactile sensing-based control algorithm for real-time grasp synthesis in object manipulation tasks of humanoid robot fingers,2008,RO-MAN 2008 - The 17th IEEE International Symposium on Robot and Human Interactive Communication,Hanafiah Yussof; Masahiro Ohka; Hirofumi Suzuki; Nobuyuki Morisawa,10.1109/roman.2008.4600695,https://doi.org/10.1109/roman.2008.4600695,proceedings-article,Crossref,3,tactile;manipulation
dexterous grasp pose estimation,Grasp synthesis in cluttered environments for dexterous hands,2008,Humanoids 2008 - 8th IEEE-RAS International Conference on Humanoid Robots,D. Berenson; S.S. Srinivasa,10.1109/ichr.2008.4755944,https://doi.org/10.1109/ichr.2008.4755944,proceedings-article,Crossref,3,manipulation
dexterous grasp pose estimation,Kinematic enveloping grasp planning method for robotic dexterous hands and three-dimensional objects,2008,Robotica,Shahram Salimi; Gary M. Bone,10.1017/s0263574707003955,https://doi.org/10.1017/s0263574707003955,journal-article,Crossref,3,manipulation
contact-rich manipulation robotics,Contact Modeling and Manipulation,2008,Springer Handbook of Robotics,Imin Kao; Kevin Lynch; Joel W. Burdick,10.1007/978-3-540-30301-5_28,https://doi.org/10.1007/978-3-540-30301-5_28,book-chapter,Crossref,3,contact;manipulation
contact-rich manipulation robotics,Recognition of in-hand manipulation using contact state transition for multifingered robot hand control,2008,Robotics and Autonomous Systems,Masahiro Kondo; Jun Ueda; Tsukasa Ogasawara,10.1016/j.robot.2007.09.018,https://doi.org/10.1016/j.robot.2007.09.018,journal-article,Crossref,3,contact;manipulation
contact mechanics robotics manipulation,Compliant manipulation for peg-in-hole: Is passive compliance a key to learn contact motion?,2008,2008 IEEE International Conference on Robotics and Automation,Seung-kook Yun,10.1109/robot.2008.4543437,https://doi.org/10.1109/robot.2008.4543437,proceedings-article,Crossref,3,contact;manipulation;dynamics
tactile slip detection robotic grasp,Estimation of Grip Force and Slip Behavior During Robotic Grasp Using Data Fusion and Hypothesis Testing: Case Study with a Matrix Sensor,2007,Journal of Intelligent and Robotic Systems,Debanik Roy,10.1007/s10846-007-9151-z,https://doi.org/10.1007/s10846-007-9151-z,journal-article,Crossref,3,slip;contact;manipulation
friction estimation tactile robotics,VEHICLE MODELS AND ESTIMATION OF CONTACT FORCES AND TIRE ROAD FRICTION,2007,"Proceedings of the Fourth International Conference on Informatics in Control, Automation and Robotics",,10.5220/0001636403510358,https://doi.org/10.5220/0001636403510358,proceedings-article,Crossref,3,contact;dynamics
slip prediction robotic grasping,Stability Index and Contact Configuration Planning of Force-Closure Grasping/Fixturing,2007,Series on Manufacturing Systems and Technology,,10.1142/9789812771841_0003,https://doi.org/10.1142/9789812771841_0003,book-chapter,Crossref,3,contact;manipulation
force estimation robot hand,314 External force estimation for robot hand without grasping-force sensor,2005,The Proceedings of Conference of Hokuriku-Shinetsu Branch,Takeshi TORITA; Ryoichi SUZUKI; Nobuaki KOBAYASHI,10.1299/jsmehs.2005.42.97,https://doi.org/10.1299/jsmehs.2005.42.97,journal-article,Crossref,3,contact;manipulation
dexterous grasp pose estimation,Grasp planning and implementation for dexterous hands by human demonstration,2004,Chinese Journal of Mechanical Engineering (English Edition),Jiting Li,10.3901/cjme.2004.supp.232,https://doi.org/10.3901/cjme.2004.supp.232,journal-article,Crossref,3,manipulation
robot hand object pose force sensing,Important role of force/velocity characteristics in sensory-motor coordination for control design of object manipulation by a multi-fingered robot hand,2004,Robotica,J.-H. Bae; S. Arimoto,10.1017/s0263574704000311,https://doi.org/10.1017/s0263574704000311,journal-article,Crossref,3,contact;manipulation
contact mechanics robotics manipulation,Stiffness and Contact Mechanics for Soft Fingers in Grasping and Manipulation,2004,IEEE Transactions on Robotics and Automation,I. Kao; F. Yang,10.1109/tra.2003.820868,https://doi.org/10.1109/tra.2003.820868,journal-article,Crossref,3,contact;manipulation
slip state estimation robot manipulation,Estimation of Slip Motion in Manipulation by Multi-Fingered Robot Hand and Arm,2002,The Proceedings of JSME annual Conference on Robotics and Mechatronics (Robomec),Yasuhisa Hasegawa; Hayato Ioka; Toshio Fukuda,10.1299/jsmermd.2002.117_6,https://doi.org/10.1299/jsmermd.2002.117_6,journal-article,Crossref,3,slip;manipulation
slip state estimation robot manipulation,Estimation of the Slip Motion by the Force Measurement with Multi-Fingered Robot Hand,2002,IFAC Proceedings Volumes,Yasuhisa Hasegawa; Hayato Ioka; Toshio Fukuda,10.1016/s1474-6670(17)34017-x,https://doi.org/10.1016/s1474-6670(17)34017-x,journal-article,Crossref,3,slip;contact;manipulation
proprioceptive tactile sensing robot hand,Dexterous anthropomorphic robot hand with distributed tactile sensor: Gifu hand II,2002,IEEE/ASME Transactions on Mechatronics,H. Kawasaki; T. Komatsu; K. Uchiyama,10.1109/tmech.2002.802720,https://doi.org/10.1109/tmech.2002.802720,journal-article,Crossref,3,tactile;manipulation
haptic sensing manipulation robot,Improved precision in mediated collaborative manipulation of objects by haptic force feedback,2001,Lecture Notes in Computer Science,Eva-Lotta Sallnäs,10.1007/3-540-44589-7_8,https://doi.org/10.1007/3-540-44589-7_8,book-chapter,Crossref,3,tactile;contact;manipulation
manipulation contact dynamics estimation,The Role of Environment Dynamics in Contact Force Control of Manipulation Robots,1997,"Journal of Dynamic Systems, Measurement, and Control",Miomir Vukobratovic´,10.1115/1.2801221,https://doi.org/10.1115/1.2801221,journal-article,Crossref,3,contact;manipulation
contact state estimation dexterous manipulation,Sensory Control of Dexterous Manipulation in Humans,1996,Hand and Brain,Roland S. Johansson,10.1016/b978-012759440-8/50025-6,https://doi.org/10.1016/b978-012759440-8/50025-6,book-chapter,Crossref,3,manipulation
force estimation robot hand,Dextrous hand grasping force optimization,1996,IEEE Transactions on Robotics and Automation,M. Buss; H. Hashimoto; J.B. Moore,10.1109/70.499823,https://doi.org/10.1109/70.499823,journal-article,Crossref,3,contact;manipulation
slip detection grasp control robot,NEURAL-BASED LEARNING IN GRASP FORCE CONTROL OF A ROBOT HAND,1995,Artificial Intelligence in Real-Time Control 1994,S. FATIKOW; K. SUNDERMANN,10.1016/b978-0-08-042236-7.50020-1,https://doi.org/10.1016/b978-0-08-042236-7.50020-1,book-chapter,Crossref,3,contact;manipulation
force estimation robot hand,Force distribution in manipulation by a robot hand with equality and inequality constraints,1995,Mechatronics,E. Al-Gallaf; K. Warwick,10.1016/0957-4158(95)00017-y,https://doi.org/10.1016/0957-4158(95)00017-y,journal-article,Crossref,3,contact;manipulation
slip detection grasp control robot,203 Determination of grasp forces for robot hands based on human capabilities,1994,Control Engineering Practice,,10.1016/0967-0661(94)91830-9,https://doi.org/10.1016/0967-0661(94)91830-9,journal-article,Crossref,3,contact;manipulation
slip detection grasp control robot,Determination of grasp forces for robot hands based on human capabilities,1994,Control Engineering Practice,I. Kim; H. Inooka,10.1016/0967-0661(94)90778-1,https://doi.org/10.1016/0967-0661(94)90778-1,journal-article,Crossref,3,contact;manipulation
slip detection grasp control robot,Neural Network Control of Grasp Forces for a Robot Hand,1994,IFAC Proceedings Volumes,K. Sundermann; S. Fatikow,10.1016/s1474-6670(17)46013-7,https://doi.org/10.1016/s1474-6670(17)46013-7,journal-article,Crossref,3,contact;manipulation
dexterous grasp pose estimation,Recent Advances in Grasp Planning Task Representation and Learning Hybrid Control for Dexterous Manipulation,1993,"Robotics, Mechatronics and Manufacturing Systems",G. Casalino; M. Aicardi; G. Cannata,10.1016/b978-0-444-89700-8.50060-9,https://doi.org/10.1016/b978-0-444-89700-8.50060-9,book-chapter,Crossref,3,manipulation
robot compliance estimation contact,A priori error estimation of hp-finite element approximations of frictional contact problems with normal compliance,1993,International Journal of Engineering Science,C.Y. Lee; J.Tinsley Oden,10.1016/0020-7225(93)90104-3,https://doi.org/10.1016/0020-7225(93)90104-3,journal-article,Crossref,3,contact;dynamics
micro slip tactile manipulation,The Effects of Tactile Defensiveness and Tactile Discrimination on In-Hand Manipulation,1991,The American Journal of Occupational Therapy,Jane Case-Smith,10.5014/ajot.45.9.811,https://doi.org/10.5014/ajot.45.9.811,journal-article,Crossref,3,tactile;manipulation
robotic hand slip estimation tactile,Adaptive Control of Direct Drive Dexterous Robotic Hand with Bilateral Tactile Sensing,1990,,Morris R. Driels,10.21236/ada233980,https://doi.org/10.21236/ada233980,report,Crossref,3,tactile;manipulation
robot grasp tactile sensing,Grippers and Tactile Sensing,1989,Industrial Robot Handbook,Richard K. Miller,10.1007/978-1-4684-6608-9_3,https://doi.org/10.1007/978-1-4684-6608-9_3,book-chapter,Crossref,3,tactile;manipulation
tactile object recognition manipulation,"A sensory gripper using tactile sensors for object recognition, orientation control, and stable manipulation",1989,"IEEE Transactions on Systems, Man, and Cybernetics",M. Mehdian; H. Rahnejat,10.1109/21.44044,https://doi.org/10.1109/21.44044,journal-article,Crossref,3,tactile;manipulation
micro slip tactile manipulation,FOTS: A Fast Optical Tactile Simulator for Sim2Real Learning of Tactile-motor Robot Manipulation Skills_supp1-3396665.mp4,None,,Kun Qian,10.1109/lra.2024.3396665/mm1,https://doi.org/10.1109/lra.2024.3396665/mm1,component,Crossref,2,tactile;manipulation
micro slip tactile manipulation,TactileAloha: Learning Bimanual Manipulation with Tactile Sensing_supp1-3585396.mp4,None,,Mitsuhiro Hayashibe,10.1109/lra.2025.3585396/mm1,https://doi.org/10.1109/lra.2025.3585396/mm1,component,Crossref,2,tactile;manipulation
micro slip tactile manipulation,Experimental Characterization on Slip Detectability of Barometer-based Tactile Sensor_supp1-3297170.mp4,None,,Donghyun HWANG,10.1109/jsen.2023.3297170/mm1,https://doi.org/10.1109/jsen.2023.3297170/mm1,component,Crossref,2,slip;tactile
micro slip tactile manipulation,Object manipulation based on tactile information,None,,Andrés Felipe Montaño Sarria,10.5821/dissertation-2117-348903,https://doi.org/10.5821/dissertation-2117-348903,dissertation,Crossref,2,tactile;manipulation
micro slip tactile manipulation,Tactile SLAM : Simultaneous Reconstruction And Localization of Objects For Robotic Manipulation,None,,Ghani Kissoum,10.70675/5046a3eaz0dfaz41b8za7dfz151a7e3dc054,https://doi.org/10.70675/5046a3eaz0dfaz41b8za7dfz151a7e3dc054,dissertation,Crossref,2,tactile;manipulation
micro slip tactile manipulation,High-performance vision-based tactile sensing with applications in robotic manipulation,None,,Yazhan Zhang,10.14711/thesis-991012873058903412,https://doi.org/10.14711/thesis-991012873058903412,dissertation,Crossref,2,tactile;manipulation
micro slip tactile manipulation,Tac-Man: Tactile-Informed Prior-Free Manipulation of Articulated Objects_supp2-3508134.mp4,None,,Yixin Zhu,10.1109/tro.2024.3508134/mm1,https://doi.org/10.1109/tro.2024.3508134/mm1,component,Crossref,2,tactile;manipulation
micro slip tactile manipulation,Tac-Man: Tactile-Informed Prior-Free Manipulation of Articulated Objects_supp1-3508134.mp4,None,,Yixin Zhu,10.1109/tro.2024.3508134/mm7,https://doi.org/10.1109/tro.2024.3508134/mm7,component,Crossref,2,tactile;manipulation
micro slip tactile manipulation,Tac-Man: Tactile-Informed Prior-Free Manipulation of Articulated Objects_supp3-3508134.mp4,None,,Yixin Zhu,10.1109/tro.2024.3508134/mm2,https://doi.org/10.1109/tro.2024.3508134/mm2,component,Crossref,2,tactile;manipulation
micro slip tactile manipulation,Tac-Man: Tactile-Informed Prior-Free Manipulation of Articulated Objects_supp4-3508134.mp4,None,,Yixin Zhu,10.1109/tro.2024.3508134/mm3,https://doi.org/10.1109/tro.2024.3508134/mm3,component,Crossref,2,tactile;manipulation
micro slip tactile manipulation,Tac-Man: Tactile-Informed Prior-Free Manipulation of Articulated Objects_supp7-3508134.mp4,None,,Yixin Zhu,10.1109/tro.2024.3508134/mm6,https://doi.org/10.1109/tro.2024.3508134/mm6,component,Crossref,2,tactile;manipulation
micro slip tactile manipulation,Tac-Man: Tactile-Informed Prior-Free Manipulation of Articulated Objects_supp6-3508134.mp4,None,,Yixin Zhu,10.1109/tro.2024.3508134/mm5,https://doi.org/10.1109/tro.2024.3508134/mm5,component,Crossref,2,tactile;manipulation
micro slip tactile manipulation,Tac-Man: Tactile-Informed Prior-Free Manipulation of Articulated Objects_supp5-3508134.mp4,None,,Yixin Zhu,10.1109/tro.2024.3508134/mm4,https://doi.org/10.1109/tro.2024.3508134/mm4,component,Crossref,2,tactile;manipulation
micro slip tactile manipulation,Inter-finger Small Object Manipulation with DenseTact Optical Tactile Sensor_supp1-3333735.mp4,None,,Won Kyung Do,10.1109/lra.2023.3333735/mm1,https://doi.org/10.1109/lra.2023.3333735/mm1,component,Crossref,2,tactile;manipulation
micro slip tactile manipulation,Manipulation of Boltlike Fasteners Through Fingertip Tactile Perception in Robotic Assembly_supp1-3320519.mp4,None,,Salvatore Pirozzi,10.1109/tmech.2023.3320519/mm1,https://doi.org/10.1109/tmech.2023.3320519/mm1,component,Crossref,2,tactile;manipulation
micro slip tactile manipulation,PSN: Probabilistic Spiking Structured State-Space Networks for Event-Based Visual-Tactile Slip Detection_supp1-3688100.pdf,None,,Senlin Fang,10.1109/tro.2026.3688100/mm1,https://doi.org/10.1109/tro.2026.3688100/mm1,component,Crossref,2,slip;tactile
micro slip tactile manipulation,Tactile Sensing for Robotic Manipulation,None,Lecture Notes in Control and Information Sciences,Claudio Melchiorri,10.1007/3-540-45000-9_4,https://doi.org/10.1007/3-540-45000-9_4,book-chapter,Crossref,2,tactile;manipulation
micro slip tactile manipulation,Defect Manipulation To Control ZnO Micro-/Nanowire-Metal Contacts,None,,,10.1021/acs.nanolett.8b02892.s001,https://doi.org/10.1021/acs.nanolett.8b02892.s001,component,Crossref,2,contact;manipulation
micro slip tactile manipulation,Co-location and tactile feedback for 2D widget manipulation,None,IEEE Virtual Reality 2004,A.J.F. Kok; R. van Liere,10.1109/vr.2004.1310085,https://doi.org/10.1109/vr.2004.1310085,proceedings-article,Crossref,2,tactile;manipulation
slip state estimation robot manipulation,Invariant Smoother for Legged Robot State Estimation With Dynamic Contact Event Information_supp1-3328202.mp4,None,,Hae-Won Park,10.1109/tro.2023.3328202/mm1,https://doi.org/10.1109/tro.2023.3328202/mm1,component,Crossref,2,contact;state
slip state estimation robot manipulation,Multi-Sensor Fusion for Quadruped Robot State Estimation Using Invariant Filtering and Smoothing_supp1-3564711.mp4,None,,Ylenia Nistico,10.1109/lra.2025.3564711/mm1,https://doi.org/10.1109/lra.2025.3564711/mm1,component,Crossref,2,state
slip state estimation robot manipulation,Fluid series elastic force control for robot manipulation,None,,Chunpeng Wang,10.17760/d20324057,https://doi.org/10.17760/d20324057,dissertation,Crossref,2,contact;manipulation
slip state estimation robot manipulation,Robot dexterity: from deformable grasping to impulsive manipulation,None,,Huan Lin,10.31274/etd-180810-4537,https://doi.org/10.31274/etd-180810-4537,dissertation,Crossref,2,manipulation
contact state estimation dexterous manipulation,Dexterous robotic manipulation: Batting and cutting,None,,Xiaoqian Mu,10.31274/td-20240329-239,https://doi.org/10.31274/td-20240329-239,dissertation,Crossref,2,manipulation
contact state estimation dexterous manipulation,Dexterous sliding manipulation using soft fingers,None,,Ying Xue,10.31979/etd.zdpr-u52c,https://doi.org/10.31979/etd.zdpr-u52c,dissertation,Crossref,2,manipulation
contact state estimation dexterous manipulation,Symmetric models for dexterous robotic manipulation,None,,Colin Kohler,10.17760/d20698939,https://doi.org/10.17760/d20698939,dissertation,Crossref,2,manipulation
contact state estimation dexterous manipulation,DexH2R: Task-Oriented Dexterous Manipulation From Human to Robots_supp1-3641164.mp4,None,,Shuqi Zhao,10.1109/tmech.2025.3641164/mm1,https://doi.org/10.1109/tmech.2025.3641164/mm1,component,Crossref,2,manipulation
contact state estimation dexterous manipulation,DexFruit: Dexterous Manipulation and Gaussian Splatting Inspection of Fruit_supp1-3645647.mp4,None,,Aiden Swann,10.1109/lra.2025.3645647/mm1,https://doi.org/10.1109/lra.2025.3645647/mm1,component,Crossref,2,manipulation
contact state estimation dexterous manipulation,Dexterous In-plane Manipulation of Light-controlled Microbots in Fluids_supp1-3296937.mp4,None,,Kihan Park,10.1109/lra.2023.3296937/mm3,https://doi.org/10.1109/lra.2023.3296937/mm3,component,Crossref,2,manipulation
contact state estimation dexterous manipulation,Towards versatile robotic manipulation : from high-speed picking to dexterous placing,None,,Ka Hei Mak,10.14711/thesis-991013106452603412,https://doi.org/10.14711/thesis-991013106452603412,dissertation,Crossref,2,manipulation
contact state estimation dexterous manipulation,Dexterous robotic manipulation of deformable thin objects and its application to origami folding,None,,Chunli Jiang,10.14711/thesis-991013159958303412,https://doi.org/10.14711/thesis-991013159958303412,dissertation,Crossref,2,manipulation
contact state estimation dexterous manipulation,Object Shape Perception for Autonomous Dexterous Manipulation Based on Multi-Modal Learning Models,None,,Mohamed Tahoun,10.70675/8298fd07z35b3z4c7az85c7zd9100d2bea8a,https://doi.org/10.70675/8298fd07z35b3z4c7az85c7zd9100d2bea8a,dissertation,Crossref,2,manipulation
contact state estimation dexterous manipulation,Dexterous In-plane Manipulation of Light-controlled Microbots in Fluids_supp2-3296937.mp4,None,,Kihan Park,10.1109/lra.2023.3296937/mm1,https://doi.org/10.1109/lra.2023.3296937/mm1,component,Crossref,2,manipulation
contact state estimation dexterous manipulation,Dexterous In-plane Manipulation of Light-controlled Microbots in Fluids_supp3-3296937.mp4,None,,Kihan Park,10.1109/lra.2023.3296937/mm2,https://doi.org/10.1109/lra.2023.3296937/mm2,component,Crossref,2,manipulation
contact state estimation dexterous manipulation,Robust and Adaptive Dexterous Manipulation With Vision-Based Learning From Multiple Demonstrations_supp1-3503610.mp4,None,,Ya-Jun Pan,10.1109/tie.2024.3503610/mm1,https://doi.org/10.1109/tie.2024.3503610/mm1,component,Crossref,2,manipulation
contact state estimation dexterous manipulation,neoDavid: A Humanoid Robot With Variable-Stiffness Actuation and Dexterous Manipulation Skills_supp1-3599706.mp4,None,,Sebastian Wolf,10.1109/mra.2025.3599706/mm1,https://doi.org/10.1109/mra.2025.3599706/mm1,component,Crossref,2,manipulation
contact state estimation dexterous manipulation,Dexterous manipulation with general manipulation methodology,None,Proceedings of IEEE/RSJ International Conference on Intelligent Robots and Systems. IROS '96,Y. Aiyama; T. Arai,10.1109/iros.1996.571072,https://doi.org/10.1109/iros.1996.571072,proceedings-article,Crossref,2,manipulation
contact state estimation dexterous manipulation,Dexterous object manipulation based on collision response,None,"IEEE Virtual Reality, 2003. Proceedings.",K. Hirota; M. Hirose,10.1109/vr.2003.1191144,https://doi.org/10.1109/vr.2003.1191144,proceedings-article,Crossref,2,manipulation
contact state estimation dexterous manipulation,Full envelope dexterous manipulation,None,Lecture Notes in Control and Information Sciences,Dominiek Reynaerts,10.1007/bfb0031450,https://doi.org/10.1007/bfb0031450,book-chapter,Crossref,2,manipulation
contact state estimation dexterous manipulation,Dexterous manipulation through rolling,None,Proceedings of 1995 IEEE International Conference on Robotics and Automation,A. Bicchi; R. Sorrentino,10.1109/robot.1995.525325,https://doi.org/10.1109/robot.1995.525325,proceedings-article,Crossref,2,manipulation
tactile slip detection robotic grasp,A deep learning approach to visual servo control and grasp detection for autonomous robotic manipulation,None,,Eduardo Godinho Ribeiro,10.11606/d.18.2020.tde-25092020-134758,https://doi.org/10.11606/d.18.2020.tde-25092020-134758,dissertation,Crossref,2,manipulation
tactile slip detection robotic grasp,Tactile Sensing for Grasp Stability and Adaptation,None,,Dounia Kitouni,10.70675/70477032z50fbz43c9z96daz27535dacb622,https://doi.org/10.70675/70477032z50fbz43c9z96daz27535dacb622,dissertation,Crossref,2,tactile;manipulation
contact rich manipulation state estimation,Global Planning for Contact-Rich Manipulation via Local Smoothing of Quasi-Dynamic Contact Models_supp1-3300230.mp4,None,,Tao Pang,10.1109/tro.2023.3300230/mm1,https://doi.org/10.1109/tro.2023.3300230/mm1,component,Crossref,2,contact;manipulation
contact rich manipulation state estimation,Simultaneous Trajectory Optimization and Contact Selection for Contact-rich Manipulation with High-Fidelity Geometry_supp1-3554380.mp4,None,,Mengchao Zhang,10.1109/tro.2025.3554380/mm1,https://doi.org/10.1109/tro.2025.3554380/mm1,component,Crossref,2,contact;manipulation
contact rich manipulation state estimation,Should We Learn Contact-Rich Manipulation Policies From Sampling-Based Planners?_supp1-3564701.mp4,None,,Huaijiang Zhu,10.1109/lra.2025.3564701/mm1,https://doi.org/10.1109/lra.2025.3564701/mm1,component,Crossref,2,contact;manipulation
contact rich manipulation state estimation,Contact-rich SE(3)-Equivariant Robot Manipulation Task Learning via Geometric Impedance Control_supp1-3346748.mp4,None,,Joohwan Seo,10.1109/lra.2023.3346748/mm1,https://doi.org/10.1109/lra.2023.3346748/mm1,component,Crossref,2,contact;manipulation
contact rich manipulation state estimation,State and Contact Force Estimation for Self-Balancing Electric Bicycles_supp1-3682440.mp4,None,,Qufei Zhang,10.1109/lra.2026.3682440/mm1,https://doi.org/10.1109/lra.2026.3682440/mm1,component,Crossref,2,contact
contact rich manipulation state estimation,VIII. Manipulation et entretien des verres de contact,None,Les verres de contact,,10.1159/000393939,https://doi.org/10.1159/000393939,book-chapter,Crossref,2,contact;manipulation
contact rich manipulation state estimation,Contact State Estimation using Multiple Model Estimation and Hidden Markov Models,None,Springer Tracts in Advanced Robotics,Thomas Debus; Pierre Dupont; Robert Howe,10.1007/3-540-36268-1_47,https://doi.org/10.1007/3-540-36268-1_47,book-chapter,Crossref,2,contact;state
contact rich manipulation state estimation,An Architected Neural Network For Contact State Estimation,None,OCEANS 92 Proceedings@m_Mastering the Oceans Through Technology,C.M. DeAngelis; R.W. Green,10.1109/oceans.1992.612672,https://doi.org/10.1109/oceans.1992.612672,proceedings-article,Crossref,2,contact;state
force tactile proprioceptive manipulation,Proprioceptive State Estimation for Amphibious Tactile Sensing_supp4-3463509.mp4,None,,Chaoyang Song,10.1109/tro.2024.3463509/mm3,https://doi.org/10.1109/tro.2024.3463509/mm3,component,Crossref,2,tactile;state
force tactile proprioceptive manipulation,Proprioceptive State Estimation for Amphibious Tactile Sensing_supp1-3463509.mp4,None,,Chaoyang Song,10.1109/tro.2024.3463509/mm4,https://doi.org/10.1109/tro.2024.3463509/mm4,component,Crossref,2,tactile;state
force tactile proprioceptive manipulation,Proprioceptive State Estimation for Amphibious Tactile Sensing_supp2-3463509.mp4,None,,Chaoyang Song,10.1109/tro.2024.3463509/mm1,https://doi.org/10.1109/tro.2024.3463509/mm1,component,Crossref,2,tactile;state
force tactile proprioceptive manipulation,Proprioceptive State Estimation for Amphibious Tactile Sensing_supp3-3463509.mp4,None,,Chaoyang Song,10.1109/tro.2024.3463509/mm2,https://doi.org/10.1109/tro.2024.3463509/mm2,component,Crossref,2,tactile;state
force tactile proprioceptive manipulation,Flexible Tactile Sensors for 3D Force Detection,None,,,10.1021/acs.nanolett.4c00894.s006,https://doi.org/10.1021/acs.nanolett.4c00894.s006,component,Crossref,2,tactile;contact
force tactile proprioceptive manipulation,Flexible Tactile Sensors for 3D Force Detection,None,,,10.1021/acs.nanolett.4c00894.s004,https://doi.org/10.1021/acs.nanolett.4c00894.s004,component,Crossref,2,tactile;contact
force tactile proprioceptive manipulation,A Predictive Model for Tactile Force Estimation using Audio-Tactile Data_supp1-3340614.mp4,None,,Loic Niederhauser,10.1109/lra.2023.3340614/mm1,https://doi.org/10.1109/lra.2023.3340614/mm1,component,Crossref,2,tactile;contact
force tactile proprioceptive manipulation,Flexible Tactile Sensors for 3D Force Detection,None,,,10.1021/acs.nanolett.4c00894.s002,https://doi.org/10.1021/acs.nanolett.4c00894.s002,component,Crossref,2,tactile;contact
force tactile proprioceptive manipulation,Flexible Tactile Sensors for 3D Force Detection,None,,,10.1021/acs.nanolett.4c00894.s003,https://doi.org/10.1021/acs.nanolett.4c00894.s003,component,Crossref,2,tactile;contact
force tactile proprioceptive manipulation,Flexible Tactile Sensors for 3D Force Detection,None,,,10.1021/acs.nanolett.4c00894.s005,https://doi.org/10.1021/acs.nanolett.4c00894.s005,component,Crossref,2,tactile;contact
force tactile proprioceptive manipulation,Flexible Tactile Sensors for 3D Force Detection,None,,,10.1021/acs.nanolett.4c00894.s001,https://doi.org/10.1021/acs.nanolett.4c00894.s001,component,Crossref,2,tactile;contact
force tactile proprioceptive manipulation,Self-Powered Force Sensors for Multidimensional Tactile Sensing,None,,,10.1021/acsami.2c03812.s001,https://doi.org/10.1021/acsami.2c03812.s001,component,Crossref,2,tactile;contact
force tactile proprioceptive manipulation,Self-Powered Force Sensors for Multidimensional Tactile Sensing,None,,,10.1021/acsami.2c03812.s003,https://doi.org/10.1021/acsami.2c03812.s003,component,Crossref,2,tactile;contact
force tactile proprioceptive manipulation,Self-Powered Force Sensors for Multidimensional Tactile Sensing,None,,,10.1021/acsami.2c03812.s002,https://doi.org/10.1021/acsami.2c03812.s002,component,Crossref,2,tactile;contact
force tactile proprioceptive manipulation,Self-Powered Force Sensors for Multidimensional Tactile Sensing,None,,,10.1021/acsami.2c03812.s004,https://doi.org/10.1021/acsami.2c03812.s004,component,Crossref,2,tactile;contact
force tactile proprioceptive manipulation,"Proteus: a force-proprioceptive adaptive robotic gripper with enhanced caging
               behavior and range of motion",None,,Samuel Hibbard,10.17760/d20741569,https://doi.org/10.17760/d20741569,dissertation,Crossref,2,contact;manipulation
force tactile proprioceptive manipulation,Microelectromechanical force and tactile sensors for minimally invasive surgery,None,,Beibei Han,10.32657/10356/65576,https://doi.org/10.32657/10356/65576,dissertation,Crossref,2,tactile;contact
force tactile proprioceptive manipulation,Ultrathin Superhydrophobic Flexible Tactile Sensors for Normal and Shear Force Discrimination,None,,,10.1021/acsami.1c17391.s001,https://doi.org/10.1021/acsami.1c17391.s001,component,Crossref,2,tactile;contact
force tactile proprioceptive manipulation,Cilia-Inspired Magnetic Flexible Shear Force Sensors for Tactile and Fluid Monitoring,None,,,10.1021/acsami.4c12957.s004,https://doi.org/10.1021/acsami.4c12957.s004,component,Crossref,2,tactile;contact
force tactile proprioceptive manipulation,Cilia-Inspired Magnetic Flexible Shear Force Sensors for Tactile and Fluid Monitoring,None,,,10.1021/acsami.4c12957.s001,https://doi.org/10.1021/acsami.4c12957.s001,component,Crossref,2,tactile;contact
force tactile proprioceptive manipulation,Cilia-Inspired Magnetic Flexible Shear Force Sensors for Tactile and Fluid Monitoring,None,,,10.1021/acsami.4c12957.s003,https://doi.org/10.1021/acsami.4c12957.s003,component,Crossref,2,tactile;contact
object pose contact state estimation manipulation,Data-Driven Microscopic Pose and Depth Estimation for Optical Microrobot Manipulation,None,,,10.1021/acsphotonics.0c00997.s002,https://doi.org/10.1021/acsphotonics.0c00997.s002,component,Crossref,2,manipulation;dynamics
object pose contact state estimation manipulation,Data-Driven Microscopic Pose and Depth Estimation for Optical Microrobot Manipulation,None,,,10.1021/acsphotonics.0c00997.s001,https://doi.org/10.1021/acsphotonics.0c00997.s001,component,Crossref,2,manipulation;dynamics
object pose contact state estimation manipulation,Détection et estimation de pose d'instances d'objet rigide pour la manipulation robotisée,None,,Romain Brégier,10.70675/b2ed3784z950bz4443z9cebz4e1fe7bfbfb8,https://doi.org/10.70675/b2ed3784z950bz4443z9cebz4e1fe7bfbfb8,dissertation,Crossref,2,manipulation;dynamics
object pose contact state estimation manipulation,Graspability-aware Object Pose Estimation in Cluttered Scenes_supp1-3364451.mp4,None,,Dinh-Cuong Hoang,10.1109/lra.2024.3364451/mm1,https://doi.org/10.1109/lra.2024.3364451/mm1,component,Crossref,2,manipulation;dynamics
